timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-04-16 16:00:01,1,996
2016-04-16 16:05:01,2,701
2016-04-16 16:10:01,3,484
2016-04-16 16:15:01,4,681
2016-04-16 16:20:01,5,750
2016-04-16 16:25:01,6,783
2016-04-16 16:30:01,7,768
2016-04-16 16:35:01,8,727
2016-04-16 16:40:01,9,721
2016-04-16 16:45:01,10,662
2016-04-16 16:50:01,11,466
2016-04-16 16:55:01,12,436
2016-04-16 17:00:01,13,412
2016-04-16 17:05:01,14,313
2016-04-16 17:10:01,15,312
2016-04-16 17:15:01,16,314
2016-04-16 17:20:01,17,332
2016-04-16 17:25:01,18,389
2016-04-16 17:30:01,19,433
2016-04-16 17:35:01,20,480
2016-04-16 17:40:01,21,533
2016-04-16 17:45:01,22,507
2016-04-16 17:50:01,23,645
2016-04-16 17:55:01,24,400
2016-04-16 18:00:01,25,449
2016-04-16 18:05:01,26,478
2016-04-16 18:10:01,27,139
2016-04-16 18:15:01,28,318
2016-04-16 18:20:01,29,389
2016-04-16 18:25:01,30,540
2016-04-16 18:30:01,31,465
2016-04-16 18:35:01,32,372
2016-04-16 18:40:01,33,365
2016-04-16 18:45:01,34,114
2016-04-16 18:50:01,35,350
2016-04-16 18:55:01,36,337
2016-04-16 19:00:01,37,339
2016-04-16 19:05:01,38,155
2016-04-16 19:10:01,39,109
2016-04-16 19:15:01,40,76
2016-04-16 19:20:01,41,53
2016-04-16 19:25:01,42,41
2016-04-16 19:30:01,43,26
2016-04-16 19:35:01,44,30
2016-04-16 19:40:01,45,37
2016-04-16 19:45:01,46,46
2016-04-16 19:50:01,47,49
2016-04-16 19:55:01,48,44
2016-04-16 20:00:01,49,46
2016-04-16 20:05:01,50,71
2016-04-16 20:10:01,51,61
2016-04-16 20:15:01,52,54
2016-04-16 20:20:01,53,38
2016-04-16 20:25:01,54,32
2016-04-16 20:30:01,55,21
2016-04-16 20:35:01,56,16
2016-04-16 20:40:01,57,0
2016-04-16 20:45:01,58,0
2016-04-16 20:50:01,59,0
2016-04-16 20:55:01,60,0
2016-04-16 21:00:01,61,0
2016-04-16 21:05:01,62,0
2016-04-16 21:10:01,63,0
2016-04-16 21:15:01,64,0
2016-04-16 21:20:01,65,0
2016-04-16 21:25:01,66,0
2016-04-16 21:30:01,67,0
2016-04-16 21:35:01,68,0
2016-04-16 21:40:01,69,0
2016-04-16 21:45:01,70,0
2016-04-16 21:50:01,71,0
2016-04-16 21:55:01,72,0
2016-04-16 22:00:01,73,0
2016-04-16 22:05:01,74,0
2016-04-16 22:10:01,75,0
2016-04-16 22:15:01,76,0
2016-04-16 22:20:01,77,0
2016-04-16 22:25:01,78,0
2016-04-16 22:30:01,79,0
2016-04-16 22:35:01,80,0
2016-04-16 22:40:01,81,0
2016-04-16 22:45:01,82,0
2016-04-16 22:50:01,83,0
2016-04-16 22:55:01,84,0
2016-04-16 23:00:01,85,0
2016-04-16 23:05:01,86,0
2016-04-16 23:10:01,87,0
2016-04-16 23:15:01,88,0
2016-04-16 23:20:01,89,0
2016-04-16 23:25:01,90,0
2016-04-16 23:30:01,91,0
2016-04-16 23:35:01,92,0
2016-04-16 23:40:01,93,0
2016-04-16 23:45:01,94,0
2016-04-16 23:50:01,95,0
2016-04-16 23:55:01,96,0
2016-04-17 00:00:01,97,0
2016-04-17 00:05:01,98,0
2016-04-17 00:10:01,99,0
2016-04-17 00:15:01,100,0
2016-04-17 00:20:01,101,0
2016-04-17 00:25:01,102,0
2016-04-17 00:30:01,103,0
2016-04-17 00:35:01,104,0
2016-04-17 00:40:01,105,0
2016-04-17 00:45:01,106,0
2016-04-17 00:50:01,107,0
2016-04-17 00:55:01,108,0
2016-04-17 01:00:01,109,0
2016-04-17 01:05:01,110,0
2016-04-17 01:10:01,111,0
2016-04-17 01:15:01,112,0
2016-04-17 01:20:01,113,0
2016-04-17 01:25:01,114,0
2016-04-17 01:30:01,115,0
2016-04-17 01:35:01,116,0
2016-04-17 01:40:01,117,0
2016-04-17 01:45:01,118,0
2016-04-17 01:50:01,119,0
2016-04-17 01:55:01,120,0
2016-04-17 02:00:01,121,0
2016-04-17 02:05:01,122,0
2016-04-17 02:10:01,123,0
2016-04-17 02:15:01,124,0
2016-04-17 02:20:01,125,0
2016-04-17 02:25:01,126,0
2016-04-17 02:30:01,127,0
2016-04-17 02:35:01,128,0
2016-04-17 02:40:01,129,0
2016-04-17 02:45:01,130,0
2016-04-17 02:50:01,131,0
2016-04-17 02:55:01,132,0
2016-04-17 03:00:01,133,0
2016-04-17 03:05:01,134,0
2016-04-17 03:10:01,135,0
2016-04-17 03:15:01,136,0
2016-04-17 03:20:01,137,0
2016-04-17 03:25:01,138,0
2016-04-17 03:30:01,139,0
2016-04-17 03:35:01,140,0
2016-04-17 03:40:01,141,0
2016-04-17 03:45:01,142,0
2016-04-17 03:50:01,143,0
2016-04-17 03:55:01,144,0
2016-04-17 04:00:01,145,0
2016-04-17 04:05:01,146,0
2016-04-17 04:10:01,147,0
2016-04-17 04:15:01,148,0
2016-04-17 04:20:01,149,0
2016-04-17 04:25:01,150,0
2016-04-17 04:30:01,151,0
2016-04-17 04:35:01,152,0
2016-04-17 04:40:01,153,0
2016-04-17 04:45:01,154,0
2016-04-17 04:50:01,155,0
2016-04-17 04:55:01,156,0
2016-04-17 05:00:01,157,0
2016-04-17 05:05:01,158,0
2016-04-17 05:10:01,159,0
2016-04-17 05:15:01,160,0
2016-04-17 05:20:01,161,0
2016-04-17 05:25:01,162,0
2016-04-17 05:30:01,163,0
2016-04-17 05:35:01,164,0
2016-04-17 05:40:01,165,0
2016-04-17 05:45:01,166,0
2016-04-17 05:50:01,167,0
2016-04-17 05:55:01,168,0
2016-04-17 06:00:01,169,0
2016-04-17 06:05:01,170,0
2016-04-17 06:10:01,171,0
2016-04-17 06:15:01,172,0
2016-04-17 06:20:01,173,0
2016-04-17 06:25:01,174,0
2016-04-17 06:30:01,175,0
2016-04-17 06:35:01,176,0
2016-04-17 06:40:01,177,0
2016-04-17 06:45:01,178,0
2016-04-17 06:50:01,179,0
2016-04-17 06:55:01,180,0
2016-04-17 07:00:01,181,0
2016-04-17 07:05:01,182,0
2016-04-17 07:10:01,183,0
2016-04-17 07:15:01,184,0
2016-04-17 07:20:01,185,0
2016-04-17 07:25:01,186,0
2016-04-17 07:30:01,187,0
2016-04-17 07:35:01,188,0
2016-04-17 07:40:01,189,0
2016-04-17 07:45:01,190,0
2016-04-17 07:50:01,191,0
2016-04-17 07:55:01,192,16
2016-04-17 08:00:01,193,18
2016-04-17 08:05:01,194,20
2016-04-17 08:10:01,195,21
2016-04-17 08:15:01,196,24
2016-04-17 08:20:01,197,29
2016-04-17 08:25:01,198,38
2016-04-17 08:30:01,199,37
2016-04-17 08:35:01,200,43
2016-04-17 08:40:01,201,58
2016-04-17 08:45:01,202,66
2016-04-17 08:50:01,203,74
2016-04-17 08:55:01,204,85
2016-04-17 09:00:01,205,97
2016-04-17 09:05:01,206,112
2016-04-17 09:10:01,207,129
2016-04-17 09:15:01,208,147
2016-04-17 09:20:01,209,169
2016-04-17 09:25:01,210,193
2016-04-17 09:30:01,211,223
2016-04-17 09:35:01,212,257
2016-04-17 09:40:01,213,287
2016-04-17 09:45:01,214,319
2016-04-17 09:50:01,215,348
2016-04-17 09:55:01,216,373
2016-04-17 10:00:01,217,396
2016-04-17 10:05:01,218,418
2016-04-17 10:10:01,219,439
2016-04-17 10:15:01,220,463
