timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-04-12 00:00:01,300,0
2016-04-12 00:05:01,600,0
2016-04-12 00:10:01,900,0
2016-04-12 00:15:01,1200,0
2016-04-12 00:20:01,1500,0
2016-04-12 00:25:01,1800,0
2016-04-12 00:30:01,2100,0
2016-04-12 00:35:01,2400,0
2016-04-12 00:40:01,2700,0
2016-04-12 00:45:01,3000,0
2016-04-12 00:50:01,3300,0
2016-04-12 00:55:01,3600,0
2016-04-12 01:00:01,3900,0
2016-04-12 01:05:01,4200,0
2016-04-12 01:10:01,4500,0
2016-04-12 01:15:01,4800,0
2016-04-12 01:20:01,5100,0
2016-04-12 01:25:01,5400,0
2016-04-12 01:30:01,5700,0
2016-04-12 01:35:01,6000,0
2016-04-12 01:40:01,6300,0
2016-04-12 01:45:01,6600,0
2016-04-12 01:50:01,6900,0
2016-04-12 01:55:01,7200,0
2016-04-12 02:00:01,7500,0
2016-04-12 02:05:01,7800,0
2016-04-12 02:10:01,8100,0
2016-04-12 02:15:01,8400,0
2016-04-12 02:20:01,8700,0
2016-04-12 02:25:01,9000,0
2016-04-12 02:30:01,9300,0
2016-04-12 02:35:01,9600,0
2016-04-12 02:40:01,9900,0
2016-04-12 02:45:01,10200,0
2016-04-12 02:50:01,10500,0
2016-04-12 02:55:01,10800,0
2016-04-12 03:00:01,11100,0
2016-04-12 03:05:01,11400,0
2016-04-12 03:10:01,11700,0
2016-04-12 03:15:01,12000,0
2016-04-12 03:20:01,12300,0
2016-04-12 03:25:01,12600,0
2016-04-12 03:30:01,12900,0
2016-04-12 03:35:01,13200,0
2016-04-12 03:40:01,13500,0
2016-04-12 03:45:01,13800,0
2016-04-12 03:50:01,14100,0
2016-04-12 03:55:01,14400,0
2016-04-12 04:00:01,14700,0
2016-04-12 04:05:01,15000,0
2016-04-12 04:10:01,15300,0
2016-04-12 04:15:01,15600,0
2016-04-12 04:20:01,15900,0
2016-04-12 04:25:01,16200,0
2016-04-12 04:30:01,16500,0
2016-04-12 04:35:01,16800,0
2016-04-12 04:40:01,17100,0
2016-04-12 04:45:01,17400,0
2016-04-12 04:50:01,17700,0
2016-04-12 04:55:01,18000,0
2016-04-12 05:00:01,18300,0
2016-04-12 05:05:01,18600,0
2016-04-12 05:10:01,18900,0
2016-04-12 05:15:01,19200,0
2016-04-12 05:20:01,19500,0
2016-04-12 05:25:01,19800,0
2016-04-12 05:30:01,20100,0
2016-04-12 05:35:01,20400,0
2016-04-12 05:40:01,20700,0
2016-04-12 05:45:01,21000,0
2016-04-12 05:50:01,21300,0
2016-04-12 05:55:01,21600,0
2016-04-12 06:00:01,21900,0
2016-04-12 06:05:01,22200,0
2016-04-12 06:10:01,22500,0
2016-04-12 06:15:01,22800,0
2016-04-12 06:20:01,23100,0
2016-04-12 06:25:01,23400,0
2016-04-12 06:30:01,23700,0
2016-04-12 06:35:01,24000,0
2016-04-12 06:40:01,24300,0
2016-04-12 06:45:01,24600,0
2016-04-12 06:50:01,24900,0
2016-04-12 06:55:01,25200,0
2016-04-12 07:00:01,25500,0
2016-04-12 07:05:01,25800,0
2016-04-12 07:10:01,26100,0
2016-04-12 07:15:01,26400,0
2016-04-12 07:20:01,26700,0
2016-04-12 07:25:01,27000,0
2016-04-12 07:30:01,27300,0
2016-04-12 07:35:01,27600,0
2016-04-12 07:40:01,27900,0
2016-04-12 07:45:01,28200,0
2016-04-12 07:50:01,28500,0
2016-04-12 07:55:01,28800,0
2016-04-12 08:00:01,29100,0
2016-04-12 08:05:01,29400,21
2016-04-12 08:10:01,29700,25
2016-04-12 08:15:01,30000,30
2016-04-12 08:20:01,30300,35
2016-04-12 08:25:01,30600,40
2016-04-12 08:30:01,30900,46
2016-04-12 08:35:01,31200,40
2016-04-12 08:40:01,31500,67
2016-04-12 08:45:01,31800,99
2016-04-12 08:50:01,32100,106
2016-04-12 08:55:01,32400,120
2016-04-12 09:00:01,32700,172
2016-04-12 09:05:01,33000,178
2016-04-12 09:10:01,33300,177
2016-04-12 09:15:01,33600,183
2016-04-12 09:20:01,33900,191
2016-04-12 09:25:01,34200,209
2016-04-12 09:30:01,34500,234
2016-04-12 09:35:01,34800,258
2016-04-12 09:40:01,35100,281
2016-04-12 09:45:01,35400,305
2016-04-12 09:50:01,35700,328
