timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-10-25 01:00:01,16934700,0.0
2016-10-25 01:05:01,16935000,0.0
2016-10-25 01:10:01,16935300,0.0
2016-10-25 01:15:01,16935600,0.0
2016-10-25 01:20:01,16935900,0.0
2016-10-25 01:25:01,16936200,0.0
2016-10-25 01:30:01,16936500,0.0
2016-10-25 01:35:01,16936800,0.0
2016-10-25 01:40:01,16937100,0.0
2016-10-25 01:45:01,16937400,0.0
2016-10-25 01:50:01,16937700,0.0
2016-10-25 01:55:01,16938000,0.0
2016-10-25 02:00:01,16938300,0.0
2016-10-25 02:05:01,16938600,0.0
2016-10-25 02:10:01,16938900,0.0
2016-10-25 02:15:01,16939200,0.0
2016-10-25 02:20:01,16939500,0.0
2016-10-25 02:25:01,16939800,0.0
2016-10-25 02:30:01,16940100,0.0
2016-10-25 02:35:01,16940400,0.0
2016-10-25 02:40:01,16940700,0.0
2016-10-25 02:45:01,16941000,0.0
2016-10-25 02:50:01,16941300,0.0
2016-10-25 02:55:01,16941600,0.0
2016-10-25 03:00:01,16941900,0.0
2016-10-25 03:05:01,16942200,0.0
2016-10-25 03:10:01,16942500,0.0
2016-10-25 03:15:01,16942800,0.0
2016-10-25 03:20:01,16943100,0.0
2016-10-25 03:25:01,16943400,0.0
2016-10-25 03:30:01,16943700,0.0
2016-10-25 03:35:01,16944000,0.0
2016-10-25 03:40:01,16944300,0.0
2016-10-25 03:45:01,16944600,0.0
2016-10-25 03:50:01,16944900,0.0
2016-10-25 03:55:01,16945200,0.0
2016-10-25 04:00:01,16945500,0.0
2016-10-25 04:05:01,16945800,0.0
2016-10-25 04:10:01,16946100,0.0
2016-10-25 04:15:01,16946400,0.0
2016-10-25 04:20:01,16946700,0.0
2016-10-25 04:25:01,16947000,0.0
2016-10-25 04:30:01,16947300,0.0
2016-10-25 04:35:01,16947600,0.0
2016-10-25 04:40:01,16947900,0.0
2016-10-25 04:45:01,16948200,0.0
2016-10-25 04:50:01,16948500,0.0
2016-10-25 04:55:01,16948800,0.0
2016-10-25 05:00:01,16949100,0.0
2016-10-25 05:05:01,16949400,0.0
2016-10-25 05:10:01,16949700,0.0
2016-10-25 05:15:01,16950000,0.0
2016-10-25 05:20:01,16950300,0.0
2016-10-25 05:25:01,16950600,0.0
2016-10-25 05:30:01,16950900,0.0
2016-10-25 05:35:01,16951200,0.0
2016-10-25 05:40:01,16951500,0.0
2016-10-25 05:45:01,16951800,0.0
2016-10-25 05:50:01,16952100,0.0
2016-10-25 05:55:01,16952400,0.0
2016-10-25 06:00:01,16952700,0.0
2016-10-25 06:05:01,16953000,0.0
2016-10-25 06:10:01,16953300,0.0
2016-10-25 06:15:01,16953600,0.0
2016-10-25 06:20:01,16953900,0.0
2016-10-25 06:25:01,16954200,0.0
2016-10-25 06:30:01,16954500,0.0
2016-10-25 06:35:01,16954800,0.0
2016-10-25 06:40:01,16955100,0.0
2016-10-25 06:45:01,16955400,0.0
2016-10-25 06:50:01,16955700,0.0
2016-10-25 06:55:01,16956000,0.0
2016-10-25 07:00:01,16956300,0.0
2016-10-25 07:05:01,16956600,0.0
2016-10-25 07:10:01,16956900,0.0
2016-10-25 07:15:01,16957200,0.0
2016-10-25 07:20:01,16957500,0.0
2016-10-25 07:25:01,16957800,0.0
2016-10-25 07:30:01,16958100,0.0
2016-10-25 07:35:01,16958400,0.0
2016-10-25 07:40:01,16958700,0.0
2016-10-25 07:45:01,16959000,0.0
2016-10-25 07:50:01,16959300,0.0
2016-10-25 07:55:01,16959600,0.0
2016-10-25 08:00:01,16959900,0.0
2016-10-25 08:05:01,16960200,0.0
2016-10-25 08:10:01,16960500,0.0
2016-10-25 08:15:01,16960800,0.0
2016-10-25 08:20:01,16961100,0.0
2016-10-25 08:25:01,16961400,0.0
2016-10-25 08:30:01,16961700,0.0
2016-10-25 08:35:01,16962000,0.0
2016-10-25 08:40:01,16962300,0.0
2016-10-25 08:45:01,16962600,0.0
2016-10-25 08:50:01,16962900,0.0
2016-10-25 08:55:01,16963200,0.0
2016-10-25 09:00:01,16963500,0.0
2016-10-25 09:05:01,16963800,0.0
2016-10-25 09:10:01,16964100,0.0
2016-10-25 09:15:01,16964400,16.0
2016-10-25 09:20:01,16964700,0.0
2016-10-25 09:25:01,16965000,24.0
2016-10-25 09:30:01,16965300,20.0
2016-10-25 09:35:01,16965600,28.0
2016-10-25 09:40:01,16965900,28.0
2016-10-25 09:45:01,16966200,25.0
2016-10-25 09:50:01,16966500,25.0
2016-10-25 09:55:01,16966800,33.0
2016-10-25 10:00:01,16967100,30.0
2016-10-25 10:05:01,16967400,37.0
2016-10-25 10:10:01,16967700,61.0
2016-10-25 10:15:01,16968000,66.0
2016-10-25 10:20:01,16968300,61.0
2016-10-25 10:25:01,16968600,61.0
2016-10-25 10:30:01,16968900,82.0
2016-10-25 10:35:01,16969200,81.0
2016-10-25 10:40:01,16969500,75.0
2016-10-25 10:45:01,16969800,93.0
2016-10-25 10:50:01,16970100,92.0
2016-10-25 10:55:01,16970400,87.0
2016-10-25 11:00:01,16970700,81.0
2016-10-25 11:05:01,16971000,82.0
2016-10-25 11:10:01,16971300,88.0
2016-10-25 11:15:01,16971600,94.0
2016-10-25 11:20:01,16971900,98.0
2016-10-25 11:25:01,16972200,100.0
2016-10-25 11:30:01,16972500,76.0
2016-10-25 11:35:01,16972800,100.0
2016-10-25 11:40:01,16973100,164.0
2016-10-25 11:45:01,16973400,124.0
2016-10-25 11:50:01,16973700,137.0
2016-10-25 11:55:01,16974000,117.0
2016-10-25 12:00:01,16974300,88.0
2016-10-25 12:05:01,16974600,81.0
2016-10-25 12:10:01,16974900,86.0
2016-10-25 12:15:01,16975200,138.0
2016-10-25 12:20:01,16975500,111.0
