TimeStamp,IntSolIrr
2016-04-12 00:00:01,0
2016-04-12 08:05:01,21
2016-04-12 08:10:01,25
2016-04-12 08:15:01,30
2016-04-12 08:20:01,35
2016-04-12 08:25:01,40
2016-04-12 08:30:01,46
2016-04-12 08:35:01,40
2016-04-12 08:40:01,67
2016-04-12 08:45:01,99
2016-04-12 08:50:01,106
2016-04-12 08:55:01,120
2016-04-12 09:00:01,172
2016-04-12 09:05:01,178
2016-04-12 09:10:01,177
2016-04-12 09:15:01,183
2016-04-12 09:20:01,191
2016-04-12 09:25:01,209
2016-04-12 09:30:01,234
2016-04-12 09:35:01,258
2016-04-12 09:40:01,281
2016-04-12 09:45:01,305
2016-04-12 09:50:01,328
2016-04-12 09:55:01,350
2016-04-12 10:00:01,373
2016-04-12 10:05:01,395
2016-04-12 10:10:01,421
2016-04-12 10:15:01,439
2016-04-12 10:20:01,460
2016-04-12 10:25:01,485
2016-04-12 10:30:01,507
2016-04-12 10:35:01,529
2016-04-12 10:40:01,551
2016-04-12 10:45:01,564
2016-04-12 10:50:01,593
2016-04-12 10:55:01,621
2016-04-12 11:00:01,649
2016-04-12 11:05:01,659
2016-04-12 11:10:01,671
2016-04-12 11:15:01,701
2016-04-12 11:20:01,726
2016-04-12 11:25:01,746
2016-04-12 11:30:01,768
2016-04-12 11:35:01,796
2016-04-12 11:40:01,832
2016-04-12 11:45:01,908
2016-04-12 11:50:01,923
2016-04-12 11:55:01,918
2016-04-12 12:00:01,924
2016-04-12 12:05:01,940
2016-04-12 12:10:01,984
2016-04-12 12:15:01,1067
2016-04-12 12:20:01,729
2016-04-12 12:25:01,1071
2016-04-12 12:30:01,1009
2016-04-12 12:35:01,1060
2016-04-12 12:40:01,1057
2016-04-12 12:45:01,1025
2016-04-12 12:50:01,1061
2016-04-12 12:55:01,347
2016-04-12 13:00:01,367
2016-04-12 13:05:01,1185
2016-04-12 13:10:01,255
2016-04-12 13:15:01,1113
2016-04-12 13:20:01,1220
2016-04-12 13:25:01,536
2016-04-12 13:30:01,1208
2016-04-12 13:35:01,298
2016-04-12 13:40:01,1158
2016-04-12 13:45:01,167
2016-04-12 13:50:01,264
2016-04-12 13:55:01,1182
2016-04-12 14:00:01,1115
2016-04-12 14:05:01,283
2016-04-12 14:10:01,1055
2016-04-12 14:15:01,1159
2016-04-12 14:20:01,559
2016-04-12 14:25:01,1167
2016-04-12 14:30:01,826
2016-04-12 14:35:01,590
2016-04-12 14:40:01,268
2016-04-12 14:45:01,989
2016-04-12 14:50:01,251
2016-04-12 14:55:01,901
2016-04-12 15:00:01,924
2016-04-12 15:05:01,1131
2016-04-12 15:10:01,321
2016-04-12 15:15:01,863
2016-04-12 15:20:01,884
2016-04-12 15:25:01,1179
2016-04-12 15:30:01,288
2016-04-12 15:35:01,209
2016-04-12 15:40:01,206
2016-04-12 15:45:01,354
2016-04-12 15:50:01,373
2016-04-12 15:55:01,241
2016-04-12 16:00:01,234
2016-04-12 16:05:01,599
2016-04-12 16:10:01,782
2016-04-12 16:15:01,980
2016-04-12 16:20:01,1016
2016-04-12 16:25:01,454
2016-04-12 16:30:01,218
2016-04-12 16:35:01,157
2016-04-12 16:40:01,519
2016-04-12 16:45:01,444
2016-04-12 16:50:01,1019
2016-04-12 16:55:01,907
2016-04-12 17:00:01,784
2016-04-12 17:05:01,742
2016-04-12 17:10:01,733
2016-04-12 17:15:01,721
2016-04-12 17:20:01,722
2016-04-12 17:25:01,692
2016-04-12 17:30:01,674
2016-04-12 17:35:02,676
2016-04-12 17:40:01,559
2016-04-12 17:45:01,601
2016-04-12 17:50:01,370
2016-04-12 17:55:01,468
2016-04-12 18:00:01,543
2016-04-12 18:05:01,506
2016-04-12 18:10:01,482
2016-04-12 18:15:01,465
2016-04-12 18:20:01,471
2016-04-12 18:25:01,438
2016-04-12 18:30:01,415
2016-04-12 18:35:01,385
2016-04-12 18:40:01,356
2016-04-12 18:45:01,272
2016-04-12 18:50:01,237
2016-04-12 18:55:01,99
2016-04-12 19:00:01,222
2016-04-12 19:05:01,82
2016-04-12 19:10:01,128
2016-04-12 19:15:01,94
2016-04-12 19:20:01,100
2016-04-12 19:25:01,124
2016-04-12 19:30:01,96
2016-04-12 19:35:01,113
2016-04-12 19:40:01,93
2016-04-12 19:45:01,81
2016-04-12 19:50:01,72
2016-04-12 19:55:01,69
2016-04-12 20:00:01,50
2016-04-12 20:05:01,39
2016-04-12 20:10:01,34
2016-04-12 20:15:01,30
2016-04-12 20:20:01,25
2016-04-12 20:25:01,18
2016-04-12 20:30:01,14
2016-04-13 07:55:01,16
2016-04-13 08:00:01,20
2016-04-13 08:05:01,23
2016-04-13 08:10:01,25
2016-04-13 08:15:01,25
2016-04-13 08:20:01,26
2016-04-13 08:25:01,35
2016-04-13 08:30:01,39
2016-04-13 08:35:01,36
2016-04-13 08:40:01,65
2016-04-13 08:45:01,79
2016-04-13 08:50:01,95
2016-04-13 08:55:01,98
2016-04-13 09:00:01,119
2016-04-13 09:05:01,162
