timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-11-23 11:10:01,605100,68.0
2016-11-23 11:15:01,605400,54.0
2016-11-23 11:20:01,605700,45.0
2016-11-23 11:25:01,606000,55.0
2016-11-23 11:30:01,606300,66.0
2016-11-23 11:35:01,606600,54.0
2016-11-23 11:40:01,606900,47.0
2016-11-23 11:45:01,607200,37.0
2016-11-23 11:50:01,607500,39.0
2016-11-23 11:55:01,607800,56.0
2016-11-23 12:00:01,608100,95.0
2016-11-23 12:05:01,608400,99.0
2016-11-23 12:10:01,608700,103.0
2016-11-23 12:15:01,609000,71.0
2016-11-23 12:20:01,609300,46.0
2016-11-23 12:25:01,609600,42.0
2016-11-23 12:30:01,609900,27.0
2016-11-23 12:35:01,610200,23.0
2016-11-23 12:40:01,610500,28.0
2016-11-23 12:45:01,610800,40.0
2016-11-23 12:50:01,611100,68.0
2016-11-23 12:55:01,611400,44.0
2016-11-23 13:00:01,611700,39.0
2016-11-23 13:05:01,612000,22.0
2016-11-23 13:10:01,612300,22.0
2016-11-23 13:15:01,612600,44.0
2016-11-23 13:20:01,612900,61.0
2016-11-23 13:25:01,613200,56.0
2016-11-23 13:30:01,613500,59.0
2016-11-23 13:35:01,613800,28.0
2016-11-23 13:40:01,614100,18.0
2016-11-23 13:45:01,614400,33.0
2016-11-23 13:50:01,614700,29.0
2016-11-23 13:55:01,615000,29.0
2016-11-23 14:00:01,615300,20.0
2016-11-23 14:05:01,615600,0.0
2016-11-23 14:10:01,615900,0.0
2016-11-23 14:15:01,616200,0.0
2016-11-23 14:20:01,616500,0.0
2016-11-23 14:25:01,616800,0.0
2016-11-23 14:30:01,617100,22.0
2016-11-23 14:35:01,617400,0.0
2016-11-23 14:40:01,617700,0.0
2016-11-23 14:45:01,618000,0.0
2016-11-23 14:50:01,618300,0.0
2016-11-23 14:55:01,618600,0.0
2016-11-23 15:00:01,618900,0.0
2016-11-23 15:05:01,619200,0.0
2016-11-23 15:10:01,619500,0.0
2016-11-23 15:15:01,619800,0.0
2016-11-23 15:20:01,620100,0.0
2016-11-23 15:25:01,620400,0.0
2016-11-23 15:30:01,620700,0.0
2016-11-23 15:35:01,621000,0.0
2016-11-23 15:40:01,621300,0.0
2016-11-23 15:45:01,621600,0.0
2016-11-23 15:50:01,621900,0.0
2016-11-23 15:55:01,622200,0.0
2016-11-23 16:00:01,622500,0.0
2016-11-23 16:05:01,622800,0.0
2016-11-23 16:10:01,623100,0.0
2016-11-23 16:15:01,623400,0.0
2016-11-23 16:20:01,623700,0.0
2016-11-23 16:25:01,624000,0.0
2016-11-23 16:30:01,624300,0.0
2016-11-23 16:35:01,624600,0.0
2016-11-23 16:40:01,624900,0.0
2016-11-23 16:45:01,625200,0.0
2016-11-23 16:50:01,625500,0.0
2016-11-23 16:55:01,625800,0.0
2016-11-23 17:00:01,626100,0.0
2016-11-23 17:05:01,626400,0.0
2016-11-23 17:10:01,626700,0.0
2016-11-23 17:15:01,627000,0.0
2016-11-23 17:20:01,627300,0.0
2016-11-23 17:25:01,627600,0.0
2016-11-23 17:30:01,627900,0.0
2016-11-23 17:35:01,628200,0.0
2016-11-23 17:40:01,628500,0.0
