timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-12-30 10:10:01,22375500,27.0
2016-12-30 10:15:01,22375800,27.0
2016-12-30 10:20:01,22376100,30.0
2016-12-30 10:25:01,22376400,33.0
2016-12-30 10:30:01,22376700,39.0
2016-12-30 10:35:01,22377000,40.0
2016-12-30 10:40:01,22377300,39.0
2016-12-30 10:45:01,22377600,44.0
2016-12-30 10:50:01,22377900,52.0
2016-12-30 10:55:01,22378200,46.0
2016-12-30 11:00:01,22378500,49.0
2016-12-30 11:05:01,22378800,51.0
2016-12-30 11:10:01,22379100,58.0
2016-12-30 11:15:01,22379400,54.0
2016-12-30 11:20:01,22379700,54.0
2016-12-30 11:25:01,22380000,60.0
2016-12-30 11:30:01,22380300,60.0
2016-12-30 11:35:01,22380600,61.0
2016-12-30 11:40:01,22380900,64.0
2016-12-30 11:45:01,22381200,65.0
2016-12-30 11:50:01,22381500,69.0
2016-12-30 11:55:01,22381800,71.0
2016-12-30 12:00:01,22382100,75.0
2016-12-30 12:05:01,22382400,77.0
2016-12-30 12:10:01,22382700,72.0
2016-12-30 12:15:01,22383000,92.0
2016-12-30 12:20:01,22383300,97.0
2016-12-30 12:25:01,22383600,94.0
2016-12-30 12:30:01,22383900,95.0
2016-12-30 12:35:01,22384200,96.0
2016-12-30 12:40:01,22384500,101.0
2016-12-30 12:45:01,22384800,112.0
2016-12-30 12:50:01,22385100,105.0
2016-12-30 12:55:01,22385400,124.0
2016-12-30 13:00:01,22385700,131.0
2016-12-30 13:05:01,22386000,98.0
2016-12-30 13:10:01,22386300,95.0
2016-12-30 13:15:01,22386600,115.0
2016-12-30 13:20:01,22386900,116.0
2016-12-30 13:25:01,22387200,126.0
2016-12-30 13:30:01,22387500,127.0
2016-12-30 13:35:01,22387800,106.0
2016-12-30 13:40:01,22388100,98.0
2016-12-30 13:45:01,22388400,84.0
2016-12-30 13:50:01,22388700,89.0
2016-12-30 13:55:01,22389000,70.0
2016-12-30 14:00:01,22389300,81.0
2016-12-30 14:05:01,22389600,82.0
2016-12-30 14:10:02,22389900,75.0
2016-12-30 14:15:01,22390200,79.0
2016-12-30 14:20:01,22390500,75.0
2016-12-30 14:25:01,22390800,77.0
2016-12-30 14:30:01,22391100,73.0
2016-12-30 14:35:01,22391400,74.0
2016-12-30 14:40:01,22391700,66.0
2016-12-30 14:45:01,22392000,72.0
2016-12-30 14:50:01,22392300,71.0
2016-12-30 14:55:01,22392600,67.0
2016-12-30 15:00:01,22392900,60.0
2016-12-30 15:05:01,22393200,61.0
2016-12-30 15:10:01,22393500,59.0
2016-12-30 15:15:01,22393800,47.0
2016-12-30 15:20:01,22394100,47.0
2016-12-30 15:25:01,22394400,40.0
2016-12-30 15:30:01,22394700,37.0
2016-12-30 15:35:01,22395000,34.0
2016-12-30 15:40:01,22395300,36.0
2016-12-30 15:45:01,22395600,30.0
2016-12-30 15:50:01,22395900,24.0
2016-12-30 15:55:01,22396200,24.0
2016-12-30 16:00:01,22396500,23.0
2016-12-30 16:05:01,22396800,17.0
2016-12-30 16:10:01,22397100,18.0
2016-12-30 16:15:01,22397400,14.0
2016-12-30 16:20:01,22397700,14.0
2016-12-30 16:25:01,22398000,0.0
2016-12-30 16:30:01,22398300,0.0
2016-12-30 16:35:01,22398600,0.0
2016-12-30 16:40:01,22398900,0.0
2016-12-30 16:45:01,22399200,0.0
2016-12-30 16:50:01,22399500,0.0
