timestamp,interval_in_seconds,solar_irradiance_in_W_m2
2016-12-28 11:10:01,3629100,324.0
2016-12-28 11:15:01,3629400,329.0
2016-12-28 11:20:01,3629700,437.0
2016-12-28 11:25:01,3630000,497.0
2016-12-28 11:30:01,3630300,494.0
2016-12-28 11:35:01,3630600,352.0
2016-12-28 11:40:01,3630900,372.0
2016-12-28 11:45:01,3631200,533.0
2016-12-28 11:50:01,3631500,570.0
2016-12-28 11:55:01,3631800,544.0
2016-12-28 12:00:01,3632100,577.0
2016-12-28 12:05:01,3632400,332.0
2016-12-28 12:10:01,3632700,252.0
2016-12-28 12:15:01,3633000,115.0
2016-12-28 12:20:01,3633300,143.0
2016-12-28 12:25:01,3633600,412.0
2016-12-28 12:30:01,3633900,452.0
2016-12-28 12:35:01,3634200,373.0
2016-12-28 12:40:01,3634500,451.0
2016-12-28 12:45:01,3634800,353.0
2016-12-28 12:50:01,3635100,380.0
2016-12-28 12:55:01,3635400,669.0
2016-12-28 13:00:01,3635700,477.0
2016-12-28 13:05:01,3636000,636.0
2016-12-28 13:10:01,3636300,553.0
2016-12-28 13:15:01,3636600,570.0
2016-12-28 13:20:01,3636900,656.0
2016-12-28 13:25:01,3637200,424.0
2016-12-28 13:30:01,3637500,464.0
2016-12-28 13:35:01,3637800,482.0
2016-12-28 13:40:02,3638100,663.0
2016-12-28 13:45:01,3638400,534.0
2016-12-28 13:50:01,3638700,303.0
2016-12-28 13:55:01,3639000,157.0
2016-12-28 14:00:01,3639300,455.0
2016-12-28 14:05:01,3639600,266.0
2016-12-28 14:10:01,3639900,393.0
2016-12-28 14:15:01,3640200,329.0
2016-12-28 14:20:01,3640500,172.0
2016-12-28 14:25:01,3640800,171.0
2016-12-28 14:30:01,3641100,139.0
2016-12-28 14:35:01,3641400,153.0
2016-12-28 14:40:01,3641700,151.0
2016-12-28 14:45:01,3642000,214.0
2016-12-28 14:50:01,3642300,205.0
2016-12-28 14:55:01,3642600,134.0
2016-12-28 15:00:01,3642900,194.0
2016-12-28 15:05:01,3643200,438.0
2016-12-28 15:10:01,3643500,393.0
2016-12-28 15:15:01,3643800,367.0
2016-12-28 15:20:01,3644100,354.0
2016-12-28 15:25:01,3644400,290.0
2016-12-28 15:30:01,3644700,108.0
2016-12-28 15:35:01,3645000,94.0
2016-12-28 15:40:01,3645300,245.0
2016-12-28 15:45:01,3645600,109.0
2016-12-28 15:50:01,3645900,68.0
2016-12-28 15:55:01,3646200,82.0
2016-12-28 16:00:01,3646500,67.0
2016-12-28 16:05:01,3646800,45.0
2016-12-28 16:10:01,3647100,42.0
2016-12-28 16:15:01,3647400,38.0
2016-12-28 16:20:01,3647700,33.0
2016-12-28 16:25:01,3648000,22.0
2016-12-28 16:30:01,3648300,18.0
2016-12-28 16:35:01,3648600,15.0
2016-12-28 16:40:01,3648900,0.0
2016-12-28 16:45:01,3649200,0.0
2016-12-28 16:50:01,3649500,0.0
2016-12-28 16:55:01,3649800,0.0
2016-12-28 17:00:01,3650100,0.0
2016-12-28 17:05:01,3650400,0.0
2016-12-28 17:10:01,3650700,0.0
2016-12-28 17:15:01,3651000,0.0
2016-12-28 17:20:01,3651300,0.0
2016-12-28 17:25:01,3651600,0.0
2016-12-28 17:30:01,3651900,0.0
2016-12-28 17:35:01,3652200,0.0
2016-12-28 17:40:01,3652500,0.0
2016-12-28 17:45:01,3652800,0.0
2016-12-28 17:50:01,3653100,0.0
2016-12-28 17:55:01,3653400,0.0
2016-12-28 18:00:01,3653700,0.0
2016-12-28 18:05:01,3654000,0.0
2016-12-28 18:10:01,3654300,0.0
2016-12-28 18:15:01,3654600,0.0
2016-12-28 18:20:01,3654900,0.0
2016-12-28 18:25:01,3655200,0.0
2016-12-28 18:30:01,3655500,0.0
2016-12-28 18:35:01,3655800,0.0
2016-12-28 18:40:01,3656100,0.0
2016-12-28 18:45:01,3656400,0.0
2016-12-28 18:50:01,3656700,0.0
2016-12-28 18:55:01,3657000,0.0
2016-12-28 19:00:01,3657300,0.0
2016-12-28 19:05:01,3657600,0.0
2016-12-28 19:10:01,3657900,0.0
2016-12-28 19:15:01,3658200,0.0
2016-12-28 19:20:01,3658500,0.0
2016-12-28 19:25:01,3658800,0.0
2016-12-28 19:30:01,3659100,0.0
2016-12-28 19:35:01,3659400,0.0
2016-12-28 19:40:01,3659700,0.0
2016-12-28 19:45:01,3660000,0.0
2016-12-28 19:50:01,3660300,0.0
2016-12-28 19:55:01,3660600,0.0
2016-12-28 20:00:01,3660900,0.0
2016-12-28 20:05:01,3661200,0.0
2016-12-28 20:10:01,3661500,0.0
2016-12-28 20:15:01,3661800,0.0
2016-12-28 20:20:01,3662100,0.0
2016-12-28 20:25:01,3662400,0.0
2016-12-28 20:30:01,3662700,0.0
2016-12-28 20:35:01,3663000,0.0
2016-12-28 20:40:01,3663300,0.0
2016-12-28 20:45:01,3663600,0.0
2016-12-28 20:50:01,3663900,0.0
2016-12-28 20:55:01,3664200,0.0
2016-12-28 21:00:01,3664500,0.0
2016-12-28 21:05:01,3664800,0.0
2016-12-28 21:10:01,3665100,0.0
2016-12-28 21:15:01,3665400,0.0
2016-12-28 21:20:01,3665700,0.0
2016-12-28 21:25:01,3666000,0.0
2016-12-28 21:30:01,3666300,0.0
2016-12-28 21:35:01,3666600,0.0
2016-12-28 21:40:01,3666900,0.0
2016-12-28 21:45:01,3667200,0.0
2016-12-28 21:50:01,3667500,0.0
2016-12-28 21:55:01,3667800,0.0
2016-12-28 22:00:01,3668100,0.0
2016-12-28 22:05:01,3668400,0.0
2016-12-28 22:10:01,3668700,0.0
2016-12-28 22:15:01,3669000,0.0
2016-12-28 22:20:01,3669300,0.0
2016-12-28 22:25:01,3669600,0.0
2016-12-28 22:30:01,3669900,0.0
2016-12-28 22:35:01,3670200,0.0
2016-12-28 22:40:01,3670500,0.0
2016-12-28 22:45:01,3670800,0.0
2016-12-28 22:50:01,3671100,0.0
2016-12-28 22:55:01,3671400,0.0
2016-12-28 23:00:01,3671700,0.0
2016-12-28 23:05:01,3672000,0.0
2016-12-28 23:10:01,3672300,0.0
2016-12-28 23:15:01,3672600,0.0
2016-12-28 23:20:01,3672900,0.0
2016-12-28 23:25:01,3673200,0.0
2016-12-28 23:30:01,3673500,0.0
2016-12-28 23:35:01,3673800,0.0
2016-12-28 23:40:01,3674100,0.0
2016-12-28 23:45:01,3674400,0.0
2016-12-28 23:50:01,3674700,0.0
2016-12-28 23:55:01,3675000,0.0
