TimeStamp,IntSolIrr
2016-11-16 11:10:01,93
2016-11-16 11:15:01,141
2016-11-16 11:20:01,157
2016-11-16 11:25:01,160
2016-11-16 11:30:01,199
2016-11-16 11:35:01,194
2016-11-16 11:40:01,285
2016-11-16 11:45:01,276
2016-11-16 11:50:01,175
2016-11-16 11:55:01,230
2016-11-16 12:00:01,126
2016-11-16 12:05:01,96
2016-11-16 12:10:01,72
2016-11-16 12:15:01,61
2016-11-16 12:20:01,47
2016-11-16 12:25:01,71
2016-11-16 12:30:01,130
2016-11-16 12:35:01,67
2016-11-16 12:40:01,73
2016-11-16 12:45:01,66
2016-11-16 12:50:01,85
2016-11-16 12:55:01,102
2016-11-16 13:00:01,92
2016-11-16 13:05:01,74
2016-11-16 13:10:01,134
2016-11-16 13:15:01,213
2016-11-16 13:20:01,110
2016-11-16 13:25:01,126
2016-11-16 13:30:01,114
2016-11-16 13:35:01,172
2016-11-16 13:40:01,108
2016-11-16 13:45:01,119
2016-11-16 13:50:01,116
2016-11-16 13:55:01,136
2016-11-16 14:00:01,129
2016-11-16 14:05:01,111
2016-11-16 14:10:01,386
2016-11-16 14:15:01,337
2016-11-16 14:20:01,237
2016-11-16 14:25:01,141
2016-11-16 14:30:01,137
2016-11-16 14:35:01,127
2016-11-16 14:40:01,174
2016-11-16 14:45:01,205
2016-11-16 14:50:01,436
2016-11-16 14:55:01,136
2016-11-16 15:00:01,125
2016-11-16 15:05:01,102
2016-11-16 15:10:01,144
2016-11-16 15:15:01,77
2016-11-16 15:20:01,76
2016-11-16 15:25:01,83
2016-11-16 15:30:01,99
2016-11-16 15:35:01,63
2016-11-16 15:40:01,44
2016-11-16 15:45:01,26
2016-11-16 15:55:01,32
2016-11-16 16:00:01,40
2016-11-16 16:05:01,46
2016-11-16 16:10:01,55
2016-11-16 16:15:01,54
2016-11-16 16:20:01,45
2016-11-16 16:25:01,33
2016-11-16 16:35:01,16
2016-11-17 08:25:01,16
2016-11-17 08:30:01,14
2016-11-17 08:35:01,16
2016-11-17 08:40:01,23
2016-11-17 08:45:01,35
2016-11-17 08:50:01,31
2016-11-17 08:55:01,33
2016-11-17 09:00:01,36
2016-11-17 09:05:01,58
2016-11-17 09:10:01,54
2016-11-17 09:15:01,68
2016-11-17 09:20:01,79
2016-11-17 09:25:01,79
2016-11-17 09:30:01,99
2016-11-17 09:35:01,67
2016-11-17 09:40:01,56
2016-11-17 09:45:01,64
2016-11-17 09:50:01,85
2016-11-17 09:55:01,213
2016-11-17 10:00:01,227
2016-11-17 10:05:01,114
2016-11-17 10:10:01,141
2016-11-17 10:15:01,150
2016-11-17 10:20:01,246
2016-11-17 10:25:01,166
2016-11-17 10:30:01,200
2016-11-17 10:35:01,211
2016-11-17 10:40:01,234
2016-11-17 10:45:01,182
2016-11-17 10:50:01,197
2016-11-17 10:55:01,217
2016-11-17 11:00:01,178
2016-11-17 11:05:01,180
2016-11-17 11:10:01,140
2016-11-17 11:15:01,205
2016-11-17 11:20:01,212
2016-11-17 11:25:01,241
2016-11-17 11:30:01,278
2016-11-17 11:35:01,249
2016-11-17 11:40:01,711
2016-11-17 11:45:01,502
2016-11-17 11:50:01,693
2016-11-17 11:55:01,575
2016-11-17 12:00:01,302
2016-11-17 12:05:01,72
2016-11-17 12:10:01,690
2016-11-17 12:15:01,75
2016-11-17 12:20:01,136
2016-11-17 12:25:01,800
2016-11-17 12:30:01,241
2016-11-17 12:35:01,258
2016-11-17 12:40:01,104
2016-11-17 12:45:01,108
2016-11-17 12:50:01,641
2016-11-17 12:55:01,382
2016-11-17 13:00:01,780
2016-11-17 13:05:01,730
2016-11-17 13:10:01,428
2016-11-17 13:15:01,208
2016-11-17 13:20:01,648
2016-11-17 13:25:01,182
2016-11-17 13:30:01,616
2016-11-17 13:35:01,690
2016-11-17 13:40:01,766
2016-11-17 13:45:01,280
2016-11-17 13:50:01,123
